Timestamp,,,,,,,,,,,,,,,,,,,
11/6/2023 10:23:36,,Whirlwind's Flying Horse Energy Advert,[VIDEO TOO OLD][SIMILARITY DETECTED IN TITLES AND UPLOADER AND DURATION][DUPLICATE CREATOR],Whirlwind's Flying Horse Energy Advert,[DUPLICATE VIDEO][VIDEO TOO OLD][SIMILARITY DETECTED IN TITLES AND UPLOADER AND DURATION][DUPLICATE CREATOR],Whirlwind's Flying Horse Energy Advert,[DUPLICATE VIDEO][VIDEO TOO OLD][SIMILARITY DETECTED IN TITLES AND UPLOADER AND DURATION][DUPLICATE CREATOR],The Twilight vs. Trixie Saga: Pure Corruption (Part 8),[VIDEO TOO OLD][DUPLICATE CREATOR],"Alright Flower, THIS is how a pony robot is supposed to charge ! - Sweetie Bot 2560 V3.8",[VIDEO TOO OLD][DUPLICATE CREATOR],The Amazing Digital Circus Parody: POMNI PONY,[VIDEO TOO OLD][DUPLICATE CREATOR],Kosh's little tale | A thousand fears | Part 2 | MLP Animation,[VIDEO TOO OLD][DUPLICATE CREATOR],A Nightmare on Twig Street,[VIDEO TOO OLD][DUPLICATE CREATOR],A Royal Scare (SFM ponies short),[VIDEO TOO OLD][VIDEO MAYBE TOO SHORT][DUPLICATE CREATOR]
11/1/2023 0:27:28,,"MLP G5 Animatic ""Conflict""",[VIDEO TOO OLD][SIMILARITY DETECTED IN TITLES AND UPLOADER AND DURATION][DUPLICATE CREATOR],"MLP G5 Animatic ""Conflict""",[DUPLICATE VIDEO][VIDEO TOO OLD][SIMILARITY DETECTED IN TITLES AND UPLOADER AND DURATION][DUPLICATE CREATOR],"MLP G5 Animatic ""Conflict""",[DUPLICATE VIDEO][VIDEO TOO OLD][SIMILARITY DETECTED IN TITLES AND UPLOADER AND DURATION][DUPLICATE CREATOR],Pinkie's Night Time Terror [Halloween Special],[VIDEO TOO OLD][DUPLICATE CREATOR],Timber [PMV World Collab],[VIDEO TOO OLD][DUPLICATE CREATOR],How Much Candy Can You Get on Nightmare Night?,[VIDEO TOO OLD][DUPLICATE CREATOR],Spooky Pumpkin Song,[VIDEO TOO OLD][DUPLICATE CREATOR],How To Scare Horse Kids,[VIDEO TOO OLD][DUPLICATE CREATOR],,
